siiriius.'s harem
​
AVG: 23,722
#6,462 - The Flying Dutchman - SpongeBob SquarePants 51 ka
#24,736 - Seath the Scaleless - DARK SOULS 39 ka
#9,580 - Flesh Prison - ULTRAKILL 42 ka
#93,351 - Aaron Jordaniels - Call of Duty: Infinite Warfare 29 ka
#3,822 - Sara Bellum - The Powerpuff Girls 68 ka
#61,571 - Judge Holden - Blood Meridian 33 ka
#14,087 - Hygrodere - Lethal Company 34 ka
#3,916 - Mr Bean - Mr. Bean 69 ka
#53,263 - Lucien Lachance - The Elder Scrolls IV: Oblivion 34 ka
#116 - Anya Forger - SPY×FAMILY 588 ka
#2,536 - Queen Elizabeth II - Political & Historical Figures 66 ka
#189 - Portgas D. Ace - One Piece 487 ka
#662 - Xenomorph - Alien 144 ka
#11,731 - Bill Nye - Bill Nye the Science Guy 42 ka
#5,663 - The Dog of Wisdom - Dog of Wisdom 56 ka
#60,494 - Jack Griffin - The Invisible Man 32 ka
#1,831 - Young Nigga - Solo Western Musicians 141 ka
#31,390 - Nameless Boy - LIMBO 37 ka
#3,063 - Dragona Joestar - JoJo's Bizarre Adventure: The JOJOLands 74 ka
#1,884 - Jerry - Tom and Jerry 129 ka
#17,657 - Ludwig, the Holy Blade - Bloodborne 45 ka
#694 - SpongeBob SquarePants - SpongeBob SquarePants 270 ka
#79,590 - Fargoth - The Elder Scrolls III: Morrowind 31 ka
#1,363 - Crazy Diamond - JoJo's Bizarre Adventure: Diamond Is Unbreakable 89 ka
#21,838 - Avion - Shadow of the Colossus 37 ka
#25,950 - The Drifter - Hyper Light Drifter 41 ka
#29,312 - Mizutsune - Monster Hunter Generations 40 ka
#33,417 - Travis Bickle - Taxi Driver 35 ka
#32,458 - Umbra - The Elder Scrolls III: Morrowind 33 ka
#3,224 - Snow Golem - Minecraft 45 ka
#1,468 - John Wick  - John Wick 136 ka
#28,795 - Alan Parrish - Jumanji 33 ka
#3,252 - Horse - Minecraft 50 ka
#3,188 - Faker - League of Legends Esports 98 ka
#751 - Alphonse Elric - Fullmetal Alchemist 250 ka
#5,650 - Jeremy - Smiling Friends 48 ka
#754 - Polish Cow - 🤔 90 ka
#2,654 - Belle - Beauty and the Beast 95 ka
#24,648 - Solar Pillar - Terraria 32 ka
#7,161 - Spainball - Countryballs 43 ka
#29,813 - Sid Barrett - Soul Eater 39 ka
#5,100 - Martin Luther King Jr. - Political & Historical Figures 58 ka
#17,068 - Ratboy Genius - Ratboy Genius 39 ka
#3,823 - The Grinch  - How the Grinch Stole Christmas! 66 ka
#6,901 - Tasque Manager - DELTARUNE 64 ka
#9,661 - Crossbreed Priscilla - DARK SOULS 58 ka
#26,705 - Larry Daley - Night at the Museum 35 ka
#102,844 - Cody Ko - Tiny Meat Gang 31 ka
#932 - Pinkie Pie - My Little Pony: Friendship Is Magic 191 ka
#1,839 - Solid Snake - Metal Gear 156 ka
#1,328 - Hornet - Hollow Knight 187 ka
#12,164 - Ice-E - UNDERTALE 40 ka
#57,420 - Black Phillip - The Witch 31 ka
#2,966 - Jetstream Sam - Metal Gear Rising: Revengeance 111 ka
#35,916 - God (SS) - Squirrel Stapler 31 ka
#132,279 - Matthew Lewin - Magdalena Bay 29 ka
#15,223 - The Journeyer - Journey 45 ka
#36,177 - Jermaine - Adventure Time 32 ka
#656 - Creeper - Minecraft 207 ka
#48,346 - Soldier of Godrick - ELDEN RING 31 ka
#18,712 - D.W. Read - Arthur 36 ka
#19,420 - The Prince - Katamari Damacy 46 ka
#3,450 - Painty the Pirate - SpongeBob SquarePants 49 ka
#65,505 - Handler Walter - Armored Core VI: Fires of Rubicon 32 ka
#2,806 - Malina - Helltaker 104 ka
#76,619 - Wags The Dog - The Wiggles 29 ka
#2,503 - Chosen Undead - DARK SOULS 79 ka
#2,199 - Scout - Team Fortress 2 120 ka
#1,923 - Michael Jackson - Solo Western Musicians 128 ka
#37,169 - Vivec  - The Elder Scrolls III: Morrowind 36 ka
#31,949 - Necromancer - Castle Crashers 39 ka
#9 - Power - Chainsaw Man 1,140 ka
#2,835 - Bibble - Barbie: Fairytopia 79 ka
#18,934 - Pontiff Sulyvahn - DARK SOULS III 41 ka
#32,785 - Ghost (Halo) - Halo Legends 34 ka
#7,580 - Acheron Queen - Aliens 41 ka
#24,107 - Crystal Lizard - DARK SOULS 33 ka
#56,397 - Phantom Shadow - Scooby-Doo, Where Are You! 31 ka
#17,363 - Caboose - Red vs. Blue 48 ka
#87,312 - Lou (GH) - Guitar Hero III: Legends of Rock 30 ka
#1,445 - Pingu - Pingu 146 ka
#1,627 - Gun Devil - Chainsaw Man 88 ka
#12,951 - Lester Crest - Grand Theft Auto V 43 ka
#50,526 - Andrew Ryan - BioShock 35 ka
#1,547 - It - Stephen King's It 98 ka
#15,793 - Fume Knight - DARK SOULS II 42 ka
#821 - Ponyo - Ponyo 202 ka
#49,989 - Jarl Balgruuf  - The Elder Scrolls V: Skyrim 31 ka
#1,163 - Rosalina - Super Mario Galaxy 199 ka
#58,082 - Courtney Gears - Ratchet & Clank: Up Your Arsenal 32 ka
#7,800 - Winston - Overwatch 67 ka
#29,562 - Hero of Kvatch  - The Elder Scrolls IV: Oblivion 36 ka
#1,695 - Funny Valentine - JoJo's Bizarre Adventure: Steel Ball Run 155 ka
#1,869 - Soul of Cinder - DARK SOULS III 95 ka
#10,504 - Harry Du Bois - Disco Elysium 59 ka
#26,563 - Atheon - Destiny 1 34 ka
#33,957 - Nightmare - Soul Edge 39 ka
#8,682 - Radahn  - ELDEN RING 63 ka
#30,352 - Shadowmere - The Elder Scrolls IV: Oblivion 32 ka
#8,809 - Clifford the Big Red Dog - Clifford the Big Red Dog 51 ka
#16,623 - Seaman - Seaman 38 ka
#96,684 - Kyoya Suda - Siren 29 ka
#70,774 - Big Wheel (Jackson Weele) - Marvel 31 ka
#2,413 - Stone Free - JoJo's Bizarre Adventure: Stone Ocean 70 ka
#28,456 - John McClane - Die Hard 35 ka
#16,436 - Papa - Billion Surprise Toys 42 ka
#14,581 - Heide Knight - DARK SOULS II 33 ka
#48,692 - Clive Handforth  - LittleBigPlanet 2 33 ka
#11,475 - France - Hetalia Axis Powers 55 ka
#8,488 - Peppino - Pizza Tower 61 ka
#14,562 - Milhouse Van Houten - The Simpsons 39 ka
#3,007 - Hulk - Marvel 100 ka
#2,704 - Winnie the Pooh - Winnie the Pooh 97 ka
#39,340 - Michigan J. Frog - Merrie Melodies 35 ka
#6,519 - Eater of Worlds - Terraria 44 ka
#2,508 - Homelander - The Boys 108 ka
#35,188 - David Lynch - Directors 34 ka
#463 - Zuko - Avatar: The Last Airbender 350 ka
#3,986 - Gingy - Shrek 58 ka
#21,577 - Nikolai Belinski - Call of Duty: World at War 45 ka
#2,224 - Harambe - 🤔 101 ka
#7,684 - Julius Caesar - Political & Historical Figures 45 ka
#132,310 - Revenant (SC) - Soulcalibur III 28 ka
#52,981 - Gubble - Gubble 31 ka
#5,019 - Hank Anderson - Detroit: Become Human 83 ka
#5,541 - Wally - Where's Wally? 51 ka
#33,156 - Tame Impala - Solo Western Musicians 36 ka
#14,488 - Gex - Gex 47 ka
#81,909 - Peter McCain - Call of Duty: World at War 29 ka
#3,484 - King Dice - Cuphead 82 ka
#10,905 - In a Silent Way - JoJo's Bizarre Adventure: Steel Ball Run 38 ka
#550 - Chrollo Lucilfer - Hunter × Hunter 313 ka
#71,824 - Frederick Douglass - Political & Historical Figures 30 ka
#8,181 - Kim Kitsuragi - Disco Elysium 66 ka
#4,317 - Death Thirteen - JoJo's Bizarre Adventure: Stardust Crusaders 51 ka
#1,392 - Franken Stein - Soul Eater 169 ka
#30,556 - James T. Kirk - Star Trek: The Original Series 40 ka
#2,885 - Suicide Squidward - Creepypasta 70 ka
#11,811 - King Neptune - SpongeBob SquarePants 40 ka
#66,211 - Kent Mansley - The Iron Giant 31 ka
#393 - Brook - One Piece 358 ka
#42,872 - Ghost of Christmas Yet to Come - A Christmas Carol 31 ka
#14,677 - Derek Zoolander - Zoolander 39 ka
#4,507 - Wall of Flesh - Terraria 59 ka
#22,861 - Eric André - The Eric Andre Show 41 ka
#34,010 - Thomas Wayne - DC 35 ka
#68,293 - Abracadaniel - Adventure Time 31 ka
#98,460 - Enrique (DT)  - Dragon Tales 30 ka
#16,992 - Slave Knight Gael - DARK SOULS III 50 ka
#11,100 - Bernie Sanders - Political & Historical Figures 51 ka
#4,183 - Agent 47 - Hitman: Codename 47 74 ka
#99,618 - YHVH - Digital Devil Story: Megami Tensei II 30 ka
#6,409 - Jim Hawkins - Treasure Planet 70 ka
#406 - Josuke Higashikata - JoJo's Bizarre Adventure: Diamond Is Unbreakable 380 ka
#2,970 - Lil Uzi Vert - Solo Western Musicians 73 ka
#1,728 - Omni-Man - Invincible 138 ka
#7,559 - Cacodemon - DOOM 45 ka
#94,880 - Captain Canada - Captain Newfoundland 29 ka
#77,069 - Harada - Game Developers 31 ka
#3,520 - Skull Trumpet - 🤔 42 ka
#1,236 - Sora - Kingdom Hearts 214 ka
#6,170 - Chris Griffin - Family Guy 54 ka
#21,179 - Goku (DBE) - Dragonball Evolution 34 ka
#4,213 - Mrs. Puff - SpongeBob SquarePants 55 ka
#12,025 - Nick - Left 4 Dead 2 54 ka
#13,717 - Sparda - Devil May Cry 47 ka
#228 - Zenitsu Agatsuma - Kimetsu no Yaiba 515 ka
#20,393 - Dean McCoppin - The Iron Giant 42 ka
#8,853 - Hugh Neutron - Jimmy Neutron: Boy Genius 51 ka
#39,511 - Northernlion - Northernlion 37 ka
#13,657 - Pope Francis - Political & Historical Figures 34 ka
#2,429 - Saul Goodman - Breaking Bad 119 ka
#96,146 - The Boy - The Last Guardian 31 ka
#24,796 - Mac Miller - Solo Western Musicians 41 ka
#10,503 - Morpheus - The Matrix 49 ka
#5,428 - Man - The Duck Song 61 ka
#561 - Griffith - Berserk 295 ka
#646 - Ramona Flowers - Scott Pilgrim 212 ka
#3,019 - Darkness Devil - Chainsaw Man 73 ka
#1,663 - V1 - ULTRAKILL 138 ka
#15,717 - 621 - Armored Core VI: Fires of Rubicon 40 ka
#4,089 - Ethan Winters - Resident Evil 7: Biohazard 94 ka
#9,528 - Captain K'nuckles - The Marvelous Misadventures of Flapjack 47 ka
#1,474 - Frieza - Dragon Ball Z 163 ka
#36,641 - Dutch (Predator) - Predator 33 ka
#12,812 - The Beheaded - Dead Cells 53 ka
#9,909 - Swordsmachine - ULTRAKILL 43 ka
#28,840 - Trip (Facade) - Façade 36 ka
#17,946 - Dr. Salvador - Resident Evil 4 35 ka
